offer_id,token,position,pos_tag,label
14,México,6,np00000,o
14,a,13,sp000,s
14,París,15,np00000,d
14,",",20,fc,n
14,regresa,22,vmip000,n
14,desde,30,sp000,n
14,Roma,36,np00000,n
14,–,41,fg,n
14,$,43,zm,n
14,"12,440",44,dn0000,p
14,!,50,fat,n
14,(,52,z0,n
14,Por,53,sp000,n
14,$,43,zm,n
14,"4,407",58,dn0000,n
14,agrega,64,vmip000,n
14,7,62,dn0000,n
14,noches,73,nc0p000,n
14,de,30,sp000,n
14,Hotel,83,np00000,n
14,),88,f0,n
15,¡,0,faa,n
15,LA,1,pp000000,o
15,a,4,sp000,s
15,Seúl,6,np00000,d
15,",",10,fc,n
15,regresa,12,vmip000,n
15,desde,20,sp000,n
15,Tokio,26,np00000,n
15,🇯🇵,32,np00000,f
15,$,35,zm,n
15,"8,607",36,dn0000,p
15,!,41,fat,n
15,(,43,z0,n
15,Por,44,sp000,n
15,$,35,nc0p000,n
15,"3,147",49,z0,n
15,agrega,55,vmip000,n
15,11,62,dn0000,n
15,noches,65,nc0p000,n
15,de,20,sp000,n
15,hostal,75,nc0s000,n
15,),81,nc0s000,n
16,¡,0,faa,n
16,CDMX,1,np00000,o
16,",",5,fc,o
16,MTY,7,np00000,o
16,",",5,fc,o
16,GDL,12,np00000,o
16,y,16,cc,o
16,Silao,18,np00000,o
16,a,21,sp000,s
16,Belice,26,np00000,d
16,!,32,fat,n
16,(,34,z0,n
16,Agrega,35,vmip000,n
16,7,42,dn0000,n
16,noches,44,nc0p000,n
16,de,51,sp000,n
16,hotel,54,nc0s000,n
16,por,60,sp000,n
16,$,64,zm,n
16,"2,113",65,dn0000,n
16,),70,nc0s000,n
17,¡,0,faa,n
17,CDMX,1,np00000,o
17,a,6,sp000,s
17,Tailandia,8,np00000,d
17,$,18,zm,n
17,"10,268",19,dn0000,p
17,!,25,fat,n
17,Sin,27,sp000,n
17,escala,31,nc0s000,n
17,en,38,sp000,n
17,EE.UU,41,np00000,n
17,(,47,nc0s000,n
17,Agrega,48,vmip000,n
17,10,19,dn0000,n
17,noches,58,nc0p000,n
17,de,65,sp000,n
17,hotel,68,nc0s000,n
17,boutique,74,vmsp000,n
17,por,83,sp000,n
17,$,18,zm,n
17,"5,462",88,dn0000,n
17,),93,nc0s000,n
18,¡,0,faa,n
18,CDMX,1,np00000,o
18,a,6,sp000,s
18,Santiago,8,np00000,d
18,+,17,cc,d
18,Buenos,19,aq0000,d
18,Aires,26,np00000,d
18,$,32,zm,n
18,"11,943",33,dn0000,p
18,!,39,fat,n
18,(,41,nc0s000,n
18,Agrega,42,vmip000,n
18,7,49,dn0000,n
18,noches,51,nc0p000,n
18,de,58,sp000,n
18,Hotel,61,np00000,n
18,por,67,sp000,n
18,$,32,nc0p000,n
18,"2,722",72,dn0000,n
18,),77,nc0s000,n
19,¡,0,faa,n
19,CDMX,1,np00000,o
19,a,6,sp000,s
19,Rio,8,np00000,d
19,de,12,sp000,d
19,Janeiro,15,np00000,d
19,–,23,fg,n
19,$,25,zm,n
19,"9,796",26,dn0000,p
19,!,31,fat,n
19,(,33,z0,n
19,Por,34,sp000,n
19,$,25,zm,n
19,"2,152",39,dn0000,n
19,agrega,45,vmip000,n
19,6,30,dn0000,n
19,noches,54,nc0p000,n
19,de,12,sp000,n
19,hotel,64,nc0s000,n
19,con,70,sp000,n
19,desayunos,74,nc0p000,n
19,),83,nc0s000,n
20,¡,0,faa,n
20,CDMX,1,np00000,o
20,a,6,sp000,s
20,Chile,8,np00000,d
20,$,14,zm,n
20,"8,938",15,dn0000,p
20,!,20,fat,n
20,(,22,z0,n
20,Agrega,23,vmip000,n
20,9,17,dn0000,n
20,noches,32,nc0p000,n
20,de,39,sp000,n
20,hotel,42,nc0s000,n
20,por,48,sp000,n
20,$,14,zm,n
20,"5,933",53,dn0000,n
20,),58,nc0s000,n
21,¡,0,faa,n
21,Todo,1,di0000,o
21,México,6,np00000,o
21,a,13,sp000,s
21,París,15,np00000,d
21,$,21,zm,n
21,"12,281",22,dn0000,p
21,!,28,fat,n
21,Temporada,30,nc0s000,n
21,alta,40,aq0000,n
21,y,45,cc,n
21,sin,47,sp000,n
21,escala,51,nc0s000,n
21,en,58,sp000,n
21,EE.UU,61,np00000,n
21,(,67,nc0s000,n
21,Agrega,68,vmip000,n
21,7,75,dn0000,n
21,noches,77,nc0p000,n
21,de,84,sp000,n
21,hotel,87,nc0s000,n
21,por,33,sp000,n
21,$,21,zm,n
21,"6,392",98,dn0000,n
21,),103,nc0s000,n
22,¡,0,faa,n
22,Todo,1,di0000,o
22,México,6,np00000,o
22,a,13,sp000,s
22,Europa,15,np00000,d
22,+,22,cc,d
22,Medio,24,dn0000,d
22,Oriente,30,np00000,d
22,$,38,zm,n
22,"16,140",39,dn0000,p
22,!,45,fat,n
22,Directos,47,aq0000,n
22,(,56,nc0s000,n
22,Italia,57,np00000,n
22,+,22,cc,n
22,Israel,66,np00000,n
22,+,22,cc,n
22,Turquía,75,np00000,n
22,),82,f0,n
23,¡,0,faa,n
23,MTY,1,vmm0000,o
23,a,5,sp000,s
23,Huatulco,7,np00000,d
23,–,16,fg,n
23,$,18,zm,n
23,902,19,dn0000,p
23,!,22,fat,n
23,(,24,z0,n
23,Por,25,sp000,n
23,$,18,zm,n
23,"2,282",30,dn0000,n
23,agrega,36,vmip000,n
23,4,43,dn0000,n
23,noches,45,nc0p000,n
23,de,52,sp000,n
23,hotel,55,nc0s000,n
23,),60,nc0s000,n
24,¡,0,faa,n
24,MTY,1,vmm0000,o
24,a,5,sp000,s
24,Cancún,7,np00000,d
24,–,14,fg,n
24,$,16,zm,n
24,907,17,dn0000,p
24,!,20,fat,n
24,(,22,z0,n
24,Por,23,sp000,n
24,$,16,zm,n
24,"1,180",28,dn0000,n
24,agrega,34,vmip000,n
24,4,41,dn0000,n
24,noches,43,nc0p000,n
24,de,50,sp000,n
24,hotel,53,nc0s000,n
24,),58,nc0s000,n
25,¡,0,faa,n
25,CUN,1,np00000,o
25,a,5,sp000,s
25,Holanda,7,np00000,d
25,$,15,zm,n
25,"8,885",16,dn0000,p
25,!,21,fat,n
25,Sin,23,sp000,n
25,escala,27,nc0s000,n
25,EE.UU,34,np00000,n
26,¡,0,faa,n
26,CDMX,1,np00000,o
26,a,6,sp000,s
26,Tuxtla,8,np00000,d
26,Gutiérrez,15,np00000,d
26,",",24,fc,d
26,Chiapas,26,np00000,d
26,–,34,fg,n
26,$,36,zm,n
26,"1,091",37,dn0000,p
26,!,42,fat,n
26,(,44,z0,n
26,Por,45,sp000,n
26,$,36,zm,n
26,525,50,dn0000,n
26,agrega,54,vmip000,n
26,3,61,dn0000,n
26,noches,63,nc0p000,n
26,de,70,sp000,n
26,hostal,73,nc0s000,n
26,con,80,sp000,n
26,desayunos,84,nc0p000,n
26,),93,nc0s000,n
27,¡,0,faa,n
27,CDMX,1,np00000,o
27,a,6,sp000,s
27,NYC,8,np00000,d
27,$,12,nc0p000,n
27,"3,457",13,rg,p
27,!,18,fat,n
27,Directos,20,aq0000,n
27,(,29,nc0s000,n
27,Agrega,30,vmip000,n
27,3,13,rg,n
27,noches,39,nc0p000,n
27,de,46,sp000,n
27,hostel,49,nc0s000,n
27,por,56,sp000,n
27,$,12,zm,n
27,"2,007",61,dn0000,n
27,),66,nc0s000,n
28,¡,0,faa,n
28,CDMX,1,np00000,o
28,a,6,sp000,s
28,Guatemala,8,np00000,d
28,$,18,zm,n
28,"3,452",19,dn0000,p
28,!,24,fat,n
28,Directos,26,aq0000,n
28,(,35,nc0s000,n
28,Agrega,36,vmip000,
28,3,19,rg,n
28,noches,45,nc0p000,n
28,de,52,sp000,n
28,hotel,55,nc0s000,n
28,por,61,sp000,n
28,$,18,zm,n
28,"1,735",66,dn0000,n
28,),71,nc0s000,n
29,¡,0,faa,n
29,Todo,1,di0000,o
29,México,6,np00000,o
29,a,13,sp000,s
29,Roma,15,np00000,d
29,🇮🇹,20,np00000,f
29,$,23,zm,n
29,"12,098",24,dn0000,p
29,!,30,fat,n
29,(,32,z0,n
29,Por,33,sp000,n
29,$,23,zm,n
29,"3,360",38,dn0000,n
29,agrega,44,vmip000,n
29,8,29,dn0000,n
29,noches,53,nc0p000,n
29,de,60,sp000,n
29,hotel,63,nc0s000,n
29,",",26,fc,n
29,por,70,sp000,n
29,$,23,zm,n
29,"3,627",75,dn0000,n
29,hostal,81,nc0s000,n
29,con,88,sp000,n
29,cenas,92,nc0p000,n
29,),97,nc0s000,n
30,¡,0,faa,n
30,Todo,1,di0000,o
30,México,6,np00000,o
30,a,13,sp000,s
30,París,15,np00000,d
30,",",20,fc,n
30,regresa,22,vmip000,n
30,desde,30,sp000,n
30,Amsterdam,36,np00000,n
30,–,46,fg,n
30,$,48,zm,n
30,"11,770",49,dn0000,p
30,!,55,fat,n
31,¡,0,faa,n
31,MTY,1,vmm0000,o
31,a,5,sp000,s
31,Cozumel,7,np00000,d
31,–,15,fg,n
31,$,17,zm,n
31,"1,518",18,dn0000,p
31,!,23,fat,n
31,(,25,z0,n
31,Por,26,sp000,n
31,$,17,zm,n
31,"1,230",31,dn0000,n
31,agrega,37,vmip000,n
31,3,34,dn0000,n
31,noches,46,nc0p000,n
31,de,53,sp000,n
31,hotel,56,nc0s000,n
31,),61,nc0s000,n
32,¡,0,faa,n
32,LA,1,pp000000,o
32,a,4,sp000,s
32,Bangkok,6,np00000,d
32,",",13,fc,d
32,Tailandia,15,np00000,d
32,–,25,fg,n
32,$,27,zm,n
32,"7,614",28,dn0000,p
32,!,33,fat,n
32,(,35,z0,n
32,Por,36,sp000,n
32,$,27,zm,n
32,"2,041",41,dn0000,n
32,agrega,47,vmip000,n
32,6,30,dn0000,n
32,noches,56,nc0p000,n
32,de,63,sp000,n
32,hotel,66,nc0s000,n
32,),71,nc0s000,n
33,¡,0,faa,n
33,GDL,1,np00000,o
33,a,5,sp000,s
33,Los,7,da0000,d
33,Cabos,11,np00000,d
33,$,17,zm,n
33,532,18,dn0000,p
33,!,21,fat,n
34,¡,0,faa,n
34,CDMX,1,np00000,o
34,y,6,cc,o
34,MTY,8,np00000,o
34,a,12,sp000,s
34,Vallarta,14,np00000,d
34,–,23,fg,n
34,$,25,nc0p000,n
34,751,26,z0,p
34,!,29,fat,n
34,(,31,z0,n
34,Por,32,sp000,n
34,$,25,zm,n
34,"2,458",37,dn0000,n
34,agrega,43,vmip000,n
34,4,39,dn0000,n
34,noches,52,nc0p000,n
34,de,59,sp000,n
34,hotel,62,nc0s000,n
34,",",38,fc,n
34,por,69,sp000,n
34,$,25,zm,n
34,"4,631",74,dn0000,n
34,todo,80,pi000000,n
34,incluido,85,aq0000,n
34,),93,nc0s000,n
35,¡,0,faa,n
35,CDMX,1,np00000,o
35,a,6,sp000,s
35,Vietnam,8,np00000,d
35,$,16,zm,n
35,"10,244",17,dn0000,p
35,!,23,fat,n
35,Sin,25,sp000,n
35,escala,29,nc0s000,n
35,en,36,sp000,n
35,EE.UU,39,np00000,n
35,(,45,nc0s000,n
35,Agrega,46,vmip000,n
35,15,53,dn0000,n
35,noches,56,nc0p000,n
35,de,63,sp000,n
35,hostal,66,nc0s000,n
35,por,73,sp000,n
35,$,16,zm,n
35,"2,082",78,dn0000,n
35,),83,nc0s000,n
36,¡,0,faa,n
36,CDMX,1,np00000,o
36,a,6,sp000,s
36,Singapur,8,np00000,d
36,$,17,zm,n
36,"10,477",18,dn0000,p
36,!,24,fat,n
36,Sin,8,sp000,n
36,escala,30,nc0s000,n
36,en,37,sp000,n
36,EE.UU,40,np00000,n
37,¡,0,faa,n
37,Los,1,da0000,o
37,Cabos,5,np00000,o
37,a,6,sp000,s
37,Hong,13,np00000,d
37,Kong,18,np00000,d
37,$,23,zm,n
37,"9,866",24,dn0000,p
37,!,29,fat,n
38,¡,0,faa,n
38,GDL,1,np00000,o
38,y,5,cc,o
38,CDMX,7,np00000,o
38,a,12,sp000,s
38,Alaska,14,np00000,d
38,$,21,zm,n
38,"9,457",22,dn0000,p
38,!,27,fat,n
38,Temporada,29,aq0000,n
38,de,39,sp000,n
38,Auroras,42,np00000,n
38,Boreales,50,np00000,n
39,¡,0,faa,n
39,CDMX,1,np00000,o
39,a,6,sp000,s
39,NYC,8,np00000,d
39,+,12,rg,d
39,Islandia,14,np00000,d
39,$,23,zm,n
39,"8,113",24,dn0000,p
39,!,29,fat,n
39,Directos,31,aq0000,n
39,(,40,nc0s000,n
39,Agrega,41,vmip000,n
39,7,48,dn0000,n
39,noches,50,nc0p000,n
39,de,57,sp000,n
39,hotel,60,nc0s000,n
39,por,66,sp000,n
39,$,23,zm,n
39,"4,767",71,dn0000,n
39,),76,nc0s000,n
40,¡,0,faa,n
40,CDMX,1,np00000,o
40,a,6,sp000,s
40,Europa,8,np00000,d
40,en,15,sp000,n
40,Semana,18,np00000,n
40,Santa,25,np00000,n
40,$,31,zm,n
40,"14,984",32,z0,p
40,!,38,fat,n
40,(,40,nc0s000,n
40,París,41,np00000,n
40,+,47,cc,n
40,Ibiza,49,np00000,n
40,+,47,cc,n
40,Venecia,57,vmip000,n
40,),64,nc0s000,n
41,¡,0,faa,n
41,Vallarta,1,np00000,o
41,a,2,sp000,s
41,Vancouver,12,np00000,d
41,$,22,zm,n
41,"4,447",23,dn0000,p
41,!,28,fat,n
41,Sin,30,sp000,n
41,escala,34,nc0s000,n
41,EE.UU,41,np00000,n
41,(,47,nc0s000,n
41,Agrega,48,vmip000,n
41,3,55,rg,n
41,noches,57,nc0p000,n
41,de,64,sp000,n
41,hotel,67,nc0s000,n
41,por,73,sp000,n
41,$,22,zm,n
41,"1,512",78,dn0000,n
41,),83,nc0s000,n
42,¡,0,faa,n
42,Vallarta,1,np00000,o
42,a,2,sp000,s
42,La,12,da0000,d
42,Habana,15,np00000,d
42,–,22,fg,n
42,$,24,zm,n
42,"2,875",25,dn0000,p
42,!,30,fat,n
42,(,32,z0,n
42,Por,33,sp000,n
42,$,24,zm,n
42,"1,634",38,dn0000,n
42,agrega,44,vmip000,n
42,3,41,dn0000,n
42,noches,53,nc0p000,n
42,de,60,sp000,n
42,hotel,63,nc0s000,n
42,con,69,sp000,n
42,desayunos,73,nc0p000,n
42,",",26,fc,n
42,por,84,sp000,n
42,$,24,zm,n
42,"3,336",89,dn0000,n
42,todo,95,pi000000,n
42,incluido,100,aq0000,n
42,),108,nc0s000,n
43,¡,0,faa,n
43,CUN,1,np00000,o
43,a,5,sp000,s
43,Inglaterra,7,np00000,d
43,$,18,zm,n
43,"9,051",19,dn0000,p
43,!,24,fat,n
43,Directos,26,aq0000,n
43,y,35,cc,n
43,en,37,sp000,n
43,Sem,40,np00000,n
43,.,43,fp,n
43,Santa,45,np00000,n
43,(,51,nc0s000,n
43,Agrega,52,vmip000,n
43,13,59,dn0000,n
43,noches,62,nc0p000,n
43,de,69,sp000,n
43,hotel,72,nc0s000,n
43,por,78,sp000,n
43,$,18,zm,n
43,"5,411",83,dn0000,n
43,),88,nc0s000,n
44,¡,0,faa,n
44,CDMX,1,np00000,o
44,a,6,sp000,s
44,Venecia,8,np00000,d
44,$,16,zm,n
44,"12,564",17,z0,p
44,!,23,fat,n
44,Sin,25,sp000,n
44,escala,29,nc0s000,n
44,en,9,sp000,n
44,EE.UU,39,np00000,n
44,(,45,nc0s000,n
44,Agrega,46,vmip000,n
44,8,53,dn0000,n
44,noches,55,nc0p000,n
44,de,62,sp000,n
44,hotel,65,nc0s000,n
44,por,71,sp000,n
44,$,16,zm,n
44,"4,015",76,dn0000,n
44,),81,nc0s000,n
45,¡,0,faa,n
45,CDMX,1,np00000,o
45,a,6,sp000,s
45,Phuket,8,np00000,d
45,",",14,fc,d
45,Tailandia,16,np00000,d
45,–,26,fg,n
45,$,28,zm,n
45,"12,413",29,z0,p
45,!,35,fat,n
45,(,37,z0,n
45,Por,38,sp000,n
45,$,28,zm,n
45,"3,028",43,dn0000,n
45,agrega,49,vmip000,n
45,5,56,dn0000,n
45,noches,58,nc0p000,n
45,de,65,sp000,n
45,hotel,68,nc0s000,n
45,con,74,sp000,n
45,desayunos,78,nc0p000,n
45,),87,nc0s000,n
46,¡,0,faa,n
46,CDMX,1,np00000,o
46,a,6,sp000,s
46,Orlando,8,np00000,d
46,–,16,fg,n
46,$,18,zm,n
46,"3,657",19,dn0000,p
46,!,24,fat,n
46,(,26,z0,n
46,Por,27,sp000,n
46,$,18,zm,n
46,"2,279",32,dn0000,n
46,agrega,38,vmip000,n
46,3,19,dn0000,n
46,noches,47,nc0p000,n
46,de,54,sp000,n
46,hotel,57,nc0s000,n
46,con,63,sp000,n
46,desayunos,67,nc0p000,n
46,cerca,77,rg,n
46,de,54,sp000,n
46,Universal,86,np00000,n
46,),95,f0,n
47,¡,0,faa,n
47,Tijuana,1,np00000,o
47,a,5,sp000,s
47,Beijing,11,np00000,d
47,$,19,zm,n
47,"10,989",20,z0,p
47,!,26,fat,n
47,Directos,28,aq0000,n
47,(,37,nc0s000,n
47,Agrega,38,vmip000,n
47,5,45,dn0000,n
47,noches,47,nc0p000,n
47,de,54,sp000,n
47,hotel,57,nc0s000,n
47,por,63,sp000,n
47,$,19,zm,n
47,"1,401",68,dn0000,n
47,),73,nc0s000,n
48,¡,0,faa,n
48,TIJ,1,vmm0000,o
48,a,5,sp000,s
48,Shanghái,7,np00000,d
48,$,16,zm,n
48,"11,315",17,z0,p
48,!,23,fat,n
48,Sem,25,np00000,n
48,.,28,fp,n
48,Santa,30,np00000,n
48,(,36,nc0s000,n
48,Agrega,37,vmip000,n
48,5,22,dn0000,n
48,noches,46,nc0p000,n
48,de,53,sp000,n
48,hotel,56,nc0s000,n
48,por,62,sp000,n
48,$,16,zm,n
48,"2,787",67,dn0000,n
48,),72,nc0s000,n
49,¡,0,faa,n
49,Todo,1,di0000,o
49,México,6,np00000,o
49,a,13,sp000,s
49,Israel,15,np00000,d
49,$,22,zm,n
49,"14,611",23,z0,p
49,!,29,fat,n
49,Sin,31,sp000,n
49,escala,35,nc0s000,n
49,EE.UU,42,np00000,n
49,(,48,nc0s000,n
49,Navidad,49,np00000,n
49,",",25,fc,n
49,Año,58,nc0s000,n
49,Nuevo,62,aq0000,n
49,y,68,cc,n
49,Sem,70,i,n
49,.,44,fc,n
49,Santa,75,np00000,n
49,),80,nc0s000,n
50,¡,0,faa,n
50,CUN,1,np00000,o
50,a,5,sp000,s
50,Bélgica,7,np00000,d
50,$,15,zm,n
50,"9,430",16,z0,p
50,!,21,fat,n
50,Directos,23,aq0000,n
51,¡,0,faa,n
51,Todo,1,di0000,o
51,México,6,np00000,o
51,a,13,sp000,s
51,Punta,15,np00000,d
51,Cana,21,np00000,d
51,$,26,zm,n
51,"4,324",27,dn0000,p
51,!,32,fat,n
51,Directos,34,aq0000,n
51,(,43,nc0s000,n
51,Agrega,44,vmip000,n
51,6,51,dn0000,n
51,noches,53,nc0p000,n
51,de,60,sp000,n
51,hotel,63,nc0s000,n
51,por,69,sp000,n
51,sólo,73,rg,n
51,$,26,zm,n
51,"3,345",79,dn0000,n
51,),84,nc0s000,n
52,¡,0,faa,n
52,Todo,1,di0000,o
52,México,6,np00000,o
52,a,13,sp000,s
52,Belice,15,np00000,d
52,$,22,zm,n
52,"2,585",23,dn0000,p
52,!,28,fat,n
52,Directos,30,aq0000,n
52,(,39,nc0s000,n
52,Agrega,40,vmip000,n
52,7,47,dn0000,n
52,noches,49,nc0p000,n
52,de,56,sp000,n
52,hostal,59,nc0s000,n
52,por,66,sp000,n
52,$,22,zm,n
52,"2,250",71,dn0000,n
52,),76,nc0s000,n
53,¡,0,faa,n
53,CDMX,1,np00000,o
53,a,6,sp000,s
53,Bogotá,8,np00000,d
53,🇨🇴,15,np00000,f
53,$,18,zm,n
53,"3,529",19,z0,p
53,!,24,fat,n
53,(,26,z0,n
53,Por,27,sp000,n
53,$,18,zm,n
53,"1,050",32,dn0000,n
53,agrega,38,vmip000,n
53,5,21,dn0000,n
53,noches,47,nc0p000,n
53,de,54,sp000,n
53,hotel,57,nc0s000,n
53,con,63,sp000,n
53,desayunos,67,nc0p000,n
53,",",20,fc,n
53,por,78,sp000,n
53,$,18,zm,n
53,755,83,dn0000,n
53,de,54,sp000,n
53,hostal,90,nc0s000,n
53,con,63,sp000,n
53,desayunos,67,nc0p000,n
53,),110,nc0s000,n
54,¡,0,faa,n
54,Toronto,1,np00000,o
54,a,9,sp000,s
54,París,11,np00000,d
54,$,17,zm,n
54,"5,792",18,dn0000,p
54,!,23,fat,n
54,Directos,25,aq0000,n
54,(,34,nc0s000,n
54,Agrega,35,vmip000,n
54,6,42,dn0000,n
54,noches,44,nc0p000,n
54,de,51,sp000,n
54,Hotel,54,np00000,n
54,por,60,sp000,n
54,sólo,64,rg,n
54,$,17,nc0p000,n
54,"5,534",70,dn0000,n
54,),75,nc0s000,n
55,¡,0,faa,n
55,Todo,1,di0000,o
55,México,6,np00000,o
55,a,13,sp000,s
55,Madrid,15,np00000,d
55,🇪🇸,22,z0,f
55,$,25,zm,n
55,"10,733",26,dn0000,p
55,!,32,fat,n
55,(,34,z0,n
55,Por,35,sp000,n
55,$,25,zm,n
55,"4,492",40,dn0000,n
55,agrega,46,vmip000,n
55,9,43,dn0000,n
55,noches,55,nc0p000,n
55,de,62,sp000,n
55,departamento,65,nc0s000,n
55,),77,nc0s000,n
56,¡,0,faa,n
56,CUN,1,np00000,o
56,a,5,sp000,s
56,Escocia,7,np00000,d
56,$,15,zm,n
56,"8,870",16,dn0000,p
56,!,21,fat,n
56,Directos,23,aq0000,n
56,(,32,nc0s000,n
56,Y,33,cc,n
56,agrega,35,vmip000,n
56,6,42,dn0000,n
56,noches,44,nc0p000,n
56,de,51,sp000,n
56,hotel,54,nc0s000,n
56,por,60,sp000,n
56,sólo,64,rg,n
56,$,15,nc0p000,n
56,"4,323",70,z0,n
56,),75,f0,n
57,¡,0,faa,n
57,CUN,1,np00000,o
57,a,5,sp000,s
57,Bélgica,7,np00000,d
57,$,15,zm,n
57,"9,883",16,dn0000,p
57,!,21,fat,n
57,(,23,z0,n
57,Y,24,cc,n
57,por,26,sp000,n
57,$,15,zm,n
57,"6,706",31,dn0000,n
57,agrega,37,vmip000,n
57,8,18,dn0000,n
57,noches,46,nc0p000,n
57,de,53,sp000,n
57,hotel,56,nc0s000,n
57,),61,nc0s000,n
58,¡,0,faa,n
